product_type,source,root,product_long_name,country_code,market_area_code,market_area_name,market_area_timezone
SPOT,NORDPOOL,FXCOP,,,CO,CO,
SPOT,NORDPOOL,FXDK2,,,DK2,DK2,
SPOT,NORDPOOL,FXARH,,,AR,AR,
SPOT,NORDPOOL,FXEED,,,EE,EE,
SPOT,NORDPOOL,FXEEN,,,EE,EE,
SPOT,NORDPOOL,FXLTS,,,LT,LT,
SPOT,NORDPOOL,FXLVA,,,LV,LV,
SPOT,NORDPOOL,FXNO2,,,NO2,NO2,
SPOT,NORDPOOL,FXNO5,,,NO5,NO5,
SPOT,NORDPOOL,FXSE1,,,SE1,SE1,
SPOT,NORDPOOL,FXLUL,,,SE1,SE1,
SPOT,NORDPOOL,FXSE2,,,SE2,SE2,
SPOT,NORDPOOL,FXSE3,,,SE3,SE3,
SPOT,NORDPOOL,FXSE4,,,SE4,SE4,
SPOT,NORDPOOL,FXEEE,,,EE,EE,
SPOT,NORDPOOL,FXLTA,,,LT,LT,
SPOT,NORDPOOL,FXLVH,,,LV,LV,
SPOT,NORDPOOL,FXNO3,,,NO3,NO3,
SPOT,NORDPOOL,FXSYS,,,NPSYS,NPSYS,
SPOT,NORDPOOL,FXDKE,,,DK,DK,
SPOT,NORDPOOL,FXEEH,,,EE,EE,
SPOT,NORDPOOL,FXEES,,,EE,EE,
SPOT,NORDPOOL,FXFIA,,,FI,FI,
SPOT,NORDPOOL,FXLTN,,,LT,LT,
SPOT,NORDPOOL,FXLTD,,,LT,LT,
SPOT,NORDPOOL,FXLTH,,,LT,LT,
SPOT,NORDPOOL,FXLVE,,,LV,LV,
SPOT,NORDPOOL,FXLVN,,,LV,LV,
SPOT,NORDPOOL,FXLVS,,,LV,LV,
SPOT,NORDPOOL,FXMAL,,,SE4,SE4,
SPOT,NORDPOOL,FXDKW,,,DK,DK,
SPOT,NORDPOOL,FXDK1,,,DK1,DK1,
SPOT,NORDPOOL,FXLTE,,,LT,LT,
SPOT,NORDPOOL,FXLVD,,,LV,LV,
SPOT,NORDPOOL,FXNO1,,,NO1,NO1,
SPOT,NORDPOOL,FXNO4,,,NO4,NO4,
SPOT,NORDPOOL,FXSUN,,,SE2,SE2,